22:30:48.908526 IP 92.240.68.152.9485 > 192.168.0.200.80: Flags [P.], seq 1:112, ack 1, win 12, options [nop,nop,TS val 300433150 ecr 10415270], length 111: HTTP: GET http://pic.leech.it/i/f166c/479246b0asttas.jpg HTTP/1.1
22:30:49.032953 IP 192.168.0.200.40341 > 87.98.246.8.80: Flags [P.], seq 1:164, ack 1, win 913, options [nop,nop,TS val 10415320 ecr 1744811464], length 163: HTTP: GET /i/f166c/479246b0asttas.jpg HTTP/1.0
22:31:19.154432 IP 92.240.68.152.17260 > 192.168.0.200.80: Flags [P.], seq 1:142, ack 1, win 12, options [nop,nop,TS val 300440711 ecr 10422835], length 141: HTTP: GET http://ecx.images-amazon.com/images/I/41oZ1XsiOAL._SL500_AA300_.jpg HTTP/1.1
22:31:19.244125 IP 192.168.0.200.40630 > 216.137.63.121.80: Flags [P.], seq 1:168, ack 1, win 913, options [nop,nop,TS val 10422873 ecr 42960426], length 167: HTTP: GET /images/I/41oZ1XsiOAL. HTTP/1.0
22:31:50.161538 IP 92.240.68.152.19957 > 192.168.0.200.80: Flags [P.], seq 1:113, ack 1, win 12, options [nop,nop,TS val 300448463 ecr 10430587], length 112: HTTP: GET http://images4.byinter.net/DSC442566.gif HTTP/1.1
22:31:50.359908 IP 192.168.0.200.55528 > 159.148.96.184.80: Flags [P.], seq 1:158, ack 1, win 913, options [nop,nop,TS val 10430651 ecr 1009802272], length 157: HTTP: GET /DSC442566.gif HTTP/1.0
22:32:21.149589 IP 92.240.68.152.22272 > 192.168.0.200.80: Flags [P.], seq 1:130, ack 1, win 12, options [nop,nop,TS val 300456210 ecr 10438334], length 129: HTTP: GET http://www.nature.com/news/2009/090527/images/459492a-i1.0.jpg HTTP/1.1
02:54:46.028958 IP 192.168.0.200.49821 > 91.189.92.190.80: Flags [P.], seq 1:192, ack 1, win 913, options [nop,nop,TS val 14374569 ecr 1886596604], length 191: HTTP: GET /ubuntu/dists/oneiric-security/InRelease HTTP/1.1
02:54:46.032578 IP 192.168.0.200.59019 > 91.189.88.33.80: Flags [P.], seq 1:181, ack 1, win 913, options [nop,nop,TS val 14374570 ecr 326745584], length 180: HTTP: GET /ubuntu/dists/oneiric/InRelease HTTP/1.1
02:54:46.056291 IP 192.168.0.200.49821 > 91.189.92.190.80: Flags [P.], seq 192:435, ack 563, win 983, options [nop,nop,TS val 14374575 ecr 1886596610], length 243: HTTP: GET /ubuntu/dists/oneiric-security/Release.gpg HTTP/1.1
02:54:46.062554 IP 192.168.0.200.59019 > 91.189.88.33.80: Flags [P.], seq 181:413, ack 528, win 980, options [nop,nop,TS val 14374577 ecr 326745587], length 232: HTTP: GET /ubuntu/dists/oneiric/Release.gpg HTTP/1.1
02:54:46.082239 IP 192.168.0.200.49821 > 91.189.92.190.80: Flags [P.], seq 435:674, ack 841, win 1053, options [nop,nop,TS val 14374582 ecr 1886596617], length 239: HTTP: GET /ubuntu/dists/oneiric-security/Release HTTP/1.1
02:54:46.094457 IP 192.168.0.200.59019 > 91.189.88.33.80: Flags [P.], seq 413:641, ack 891, win 1047, options [nop,nop,TS val 14374585 ecr 326745590], length 228: HTTP: GET /ubuntu/dists/oneiric/Release HTTP/1.1
02:54:46.102039 IP 192.168.0.200.47110 > 91.189.91.15.80: Flags [P.], seq 1:571, ack 1, win 913, options [nop,nop,TS val 14374587 ecr 3838325605], length 570: HTTP: GET /ubuntu/dists/oneiric/InRelease HTTP/1.1
02:54:46.142106 IP 192.168.0.200.49821 > 91.189.92.190.80: Flags [P.], seq 674:929, ack 1121, win 1124, options [nop,nop,TS val 14374597 ecr 1886596624], length 255: HTTP: GET /ubuntu/dists/oneiric-security/main/source/Sources.bz2 HTTP/1.1
02:54:46.146533 IP 192.168.0.200.59019 > 91.189.88.33.80: Flags [P.], seq 641:885, ack 1079, win 1114, options [nop,nop,TS val 14374598 ecr 326745593], length 244: HTTP: GET /ubuntu/dists/oneiric/main/source/Sources.bz2 HTTP/1.1
02:54:46.170058 IP 192.168.0.200.49821 > 91.189.92.190.80: Flags [.], seq 929:2377, ack 1401, win 1194, options [nop,nop,TS val 14374604 ecr 1886596639], length 1448: HTTP: GET /ubuntu/dists/oneiric-security/restricted/source/Sources.bz2 HTTP/1.1
02:54:46.176724 IP 192.168.0.200.59019 > 91.189.88.33.80: Flags [P.], seq 885:1321, ack 1267, win 1181, options [nop,nop,TS val 14374606 ecr 326745598], length 436: HTTP: GET /ubuntu/dists/oneiric/main/binary-i386/Packages.bz2 HTTP/1.1
02:54:46.207856 IP 192.168.0.200.47110 > 91.189.91.15.80: Flags [P.], seq 571:1051, ack 1682, win 1123, options [nop,nop,TS val 14374613 ecr 3838325630], length 480: HTTP: GET /ubuntu/dists/oneiric/Release.gpg HTTP/1.1
02:54:46.209010 IP 192.168.0.200.59019 > 91.189.88.33.80: Flags [P.], seq 1321:1523, ack 1988, win 1315, options [nop,nop,TS val 14374614 ecr 326745601], length 202: HTTP: GET /ubuntu/dists/oneiric/main/i18n/Translation-en_US.bz2 HTTP/1.1
02:54:46.209744 IP 192.168.0.200.49821 > 91.189.92.190.80: Flags [P.], seq 3523:4097, ack 3895, win 1896, options [nop,nop,TS val 14374614 ecr 1886596646], length 574: HTTP: GET /ubuntu/dists/oneiric-security/universe/i18n/Index HTTP/1.1
02:54:46.241556 IP 192.168.0.200.59019 > 91.189.88.33.80: Flags [P.], seq 1523:1722, ack 2536, win 1383, options [nop,nop,TS val 14374622 ecr 326745605], length 199: HTTP: GET /ubuntu/dists/oneiric/main/i18n/Translation-en.bz2 HTTP/1.1
02:54:46.265204 IP 192.168.0.200.49821 > 91.189.92.190.80: Flags [P.], seq 4300:4830, ack 4436, win 2107, options [nop,nop,TS val 14374628 ecr 1886596656], length 530: HTTP: GET /ubuntu/dists/oneiric-security/restricted/i18n/Translation-en.bz2 HTTP/1.1
02:54:46.273872 IP 192.168.0.200.59019 > 91.189.88.33.80: Flags [P.], seq 1722:1923, ack 3081, win 1452, options [nop,nop,TS val 14374630 ecr 326745608], length 201: HTTP: GET /ubuntu/dists/oneiric/main/i18n/Translation-en_US.xz HTTP/1.1
02:54:46.301378 IP 192.168.0.200.59019 > 91.189.88.33.80: Flags [P.], seq 1923:2121, ack 3628, win 1520, options [nop,nop,TS val 14374637 ecr 326745611], length 198: HTTP: GET /ubuntu/dists/oneiric/main/i18n/Translation-en.xz HTTP/1.1
02:54:46.311794 IP 192.168.0.200.47110 > 91.189.91.15.80: Flags [P.], seq 1051:1529, ack 2208, win 1264, options [nop,nop,TS val 14374639 ecr 3838325657], length 478: HTTP: GET /ubuntu/dists/oneiric-backports/Release.gpg HTTP/1.1
02:54:46.329564 IP 192.168.0.200.59019 > 91.189.88.33.80: Flags [P.], seq 2121:2324, ack 4172, win 1589, options [nop,nop,TS val 14374644 ecr 326745613], length 203: HTTP: GET /ubuntu/dists/oneiric/main/i18n/Translation-en_US.lzma HTTP/1.1
02:54:46.361462 IP 192.168.0.200.59019 > 91.189.88.33.80: Flags [P.], seq 2324:2524, ack 4721, win 1658, options [nop,nop,TS val 14374652 ecr 326745617], length 200: HTTP: GET /ubuntu/dists/oneiric/main/i18n/Translation-en.lzma HTTP/1.1
02:54:46.393264 IP 192.168.0.200.59019 > 91.189.88.33.80: Flags [P.], seq 2524:2725, ack 5267, win 1726, options [nop,nop,TS val 14374660 ecr 326745620], length 201: HTTP: GET /ubuntu/dists/oneiric/main/i18n/Translation-en_US.gz HTTP/1.1
02:54:46.412166 IP 192.168.0.200.47110 > 91.189.91.15.80: Flags [P.], seq 1529:2011, ack 2736, win 1405, options [nop,nop,TS val 14374664 ecr 3838325682], length 482: HTTP: GET /ubuntu/dists/oneiric-updates/Release HTTP/1.1
02:54:46.425136 IP 192.168.0.200.59019 > 91.189.88.33.80: Flags [P.], seq 2725:2923, ack 5814, win 1795, options [nop,nop,TS val 14374668 ecr 326745623], length 198: HTTP: GET /ubuntu/dists/oneiric/main/i18n/Translation-en.gz HTTP/1.1
02:54:46.455147 IP 192.168.0.200.59019 > 91.189.88.33.80: Flags [P.], seq 2923:3121, ack 6358, win 1863, options [nop,nop,TS val 14374675 ecr 326745626], length 198: HTTP: GET /ubuntu/dists/oneiric/main/i18n/Translation-en_US HTTP/1.1
02:54:46.485361 IP 192.168.0.200.59019 > 91.189.88.33.80: Flags [P.], seq 3121:3316, ack 6902, win 1931, options [nop,nop,TS val 14374683 ecr 326745629], length 195: HTTP: GET /ubuntu/dists/oneiric/main/i18n/Translation-en HTTP/1.1
02:54:46.512734 IP 192.168.0.200.47110 > 91.189.91.15.80: Flags [.], seq 2011:3459, ack 3266, win 1546, options [nop,nop,TS val 14374689 ecr 3838325707], length 1448: HTTP: GET /ubuntu/dists/oneiric/main/source/Sources.bz2 HTTP/1.1
02:54:46.619069 IP 192.168.0.200.47110 > 91.189.91.15.80: Flags [.], seq 4537:5985, ack 5395, win 2110, options [nop,nop,TS val 14374716 ecr 3838325733], length 1448: HTTP: GET /ubuntu/dists/oneiric/restricted/i18n/Index HTTP/1.1
